                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3512,                 2.2248,                 1.6801,                0.67436,                0.60178,                0.64198,                0.28682,                   1.69,                 1.8238,                 2.0107,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.3328,                 1.8005,                 1.6716,                0.60774,                0.58843,                0.58974,                0.25908,                 1.7938,                 1.6867,                 2.2155,              0.0065979,              0.0065979,              0.0065979
                      3,                 1.4445,                 1.8176,                 1.7712,                0.53933,                 0.5139,                0.52029,                0.19637,                 1.9453,                 1.9296,                 2.3228,              0.0097992,              0.0097992,              0.0097992
                      4,                 1.5042,                  1.881,                 1.8303,                0.49141,                0.55951,                0.49968,                0.20856,                 1.8785,                 1.7778,                 2.2409,               0.009703,               0.009703,               0.009703
                      5,                 1.4471,                 1.7759,                 1.7867,                0.61604,                0.59177,                0.61577,                0.28304,                 1.7631,                 1.6078,                 2.1672,               0.009703,               0.009703,               0.009703
                      6,                  1.418,                 1.7196,                 1.7669,                0.58339,                0.59511,                0.59318,                0.25261,                 1.8313,                 1.6205,                  2.206,               0.009604,               0.009604,               0.009604
                      7,                 1.3833,                 1.6478,                  1.737,                0.61095,                0.66073,                0.65648,                0.27213,                 1.8629,                 1.5278,                 2.2278,               0.009505,               0.009505,               0.009505
                      8,                 1.3632,                 1.5887,                 1.7105,                0.66108,                0.66296,                0.71297,                0.34339,                 1.6865,                 1.3548,                 2.0229,               0.009406,               0.009406,               0.009406
                      9,                 1.3387,                 1.5433,                 1.6915,                0.69033,                0.67519,                0.69598,                0.35211,                 1.6322,                 1.3196,                 1.9477,               0.009307,               0.009307,               0.009307
                     10,                 1.3187,                  1.513,                 1.6777,                 0.7232,                0.68586,                0.73695,                0.34749,                 1.7132,                 1.3245,                 2.0605,               0.009208,               0.009208,               0.009208
                     11,                 1.3015,                 1.4757,                 1.6597,                0.71758,                0.67548,                0.74407,                0.35797,                 1.6819,                 1.2689,                 1.9911,               0.009109,               0.009109,               0.009109
                     12,                 1.2944,                 1.4479,                 1.6495,                0.71173,                0.71413,                0.76399,                0.36897,                 1.6475,                 1.2293,                 1.9718,                0.00901,                0.00901,                0.00901
                     13,                 1.2724,                 1.4289,                 1.6347,                0.71018,                0.73595,                0.76027,                0.39718,                 1.5616,                 1.1796,                 1.9113,               0.008911,               0.008911,               0.008911
                     14,                 1.2568,                 1.3843,                 1.6188,                0.74929,                0.72303,                0.78435,                0.41307,                 1.5654,                 1.1666,                 1.8722,               0.008812,               0.008812,               0.008812
                     15,                 1.2458,                 1.3702,                 1.6166,                0.75121,                0.74527,                0.79444,                0.41746,                 1.5483,                 1.1103,                 1.8929,               0.008713,               0.008713,               0.008713
                     16,                 1.2474,                 1.3498,                 1.6146,                0.74718,                 0.7564,                0.79912,                0.41302,                  1.624,                  1.119,                 1.9296,               0.008614,               0.008614,               0.008614
                     17,                 1.2314,                 1.3378,                 1.6021,                0.79172,                0.73971,                0.80853,                0.42587,                 1.5713,                 1.0743,                 1.8884,               0.008515,               0.008515,               0.008515
                     18,                 1.2274,                  1.303,                 1.5936,                0.80089,                0.71141,                0.80528,                0.44035,                 1.5488,                 1.0698,                 1.8631,               0.008416,               0.008416,               0.008416
                     19,                 1.2189,                  1.284,                 1.5816,                0.76104,                0.75083,                0.81039,                0.45517,                 1.4539,                 1.0495,                  1.789,               0.008317,               0.008317,               0.008317
                     20,                 1.2121,                 1.2811,                 1.5681,                0.76049,                0.76196,                0.80833,                0.42527,                 1.5354,                 1.0613,                 1.8442,               0.008218,               0.008218,               0.008218
                     21,                 1.1947,                 1.2545,                 1.5606,                0.75527,                0.75417,                0.80633,                0.43761,                 1.5148,                 1.0602,                 1.8331,               0.008119,               0.008119,               0.008119
                     22,                 1.1796,                 1.2369,                 1.5508,                0.80261,                0.75973,                0.83357,                0.45391,                 1.5109,                 1.0311,                 1.8414,                0.00802,                0.00802,                0.00802
                     23,                 1.1775,                  1.219,                  1.548,                0.78904,                0.77753,                0.83224,                0.45363,                 1.5322,                 1.0201,                 1.8449,               0.007921,               0.007921,               0.007921
                     24,                 1.1746,                 1.2173,                 1.5469,                0.77535,                0.76752,                 0.8332,                0.45471,                 1.5304,                 1.0083,                  1.849,               0.007822,               0.007822,               0.007822
                     25,                 1.1658,                 1.1998,                  1.534,                 0.7854,                0.77753,                0.83124,                0.47237,                 1.4518,                0.96637,                 1.7804,               0.007723,               0.007723,               0.007723
                     26,                 1.1607,                 1.1873,                 1.5259,                0.75378,                0.80979,                 0.8445,                0.47255,                 1.4922,                0.95591,                 1.8094,               0.007624,               0.007624,               0.007624
                     27,                 1.1504,                  1.164,                 1.5231,                0.77238,                0.79755,                0.84709,                0.46489,                 1.5094,                0.93973,                 1.8142,               0.007525,               0.007525,               0.007525
                     28,                 1.1434,                  1.161,                 1.5135,                0.81315,                0.78532,                0.84728,                0.47631,                 1.4658,                0.93877,                 1.7936,               0.007426,               0.007426,               0.007426
                     29,                 1.1408,                  1.138,                 1.5122,                0.82186,                0.78087,                0.85272,                0.47605,                 1.4827,                 0.9452,                 1.7764,               0.007327,               0.007327,               0.007327
                     30,                 1.1262,                 1.1257,                 1.4996,                0.78716,                0.80423,                0.85086,                0.49087,                  1.427,                0.92594,                 1.7477,               0.007228,               0.007228,               0.007228
