                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4416,                 2.0621,                 1.7803,                0.51501,                0.51168,                0.48045,                0.19106,                 1.9807,                 1.9233,                 2.3503,              0.0006661,              0.0006661,              0.0006661
                      2,                 1.4986,                 1.8963,                  1.835,                0.50861,                0.53191,                0.50878,                0.20647,                 1.8789,                   1.79,                 2.2106,                0.00128,                0.00128,                0.00128
                      3,                 1.4831,                 1.8418,                 1.8188,                0.52566,                0.53869,                0.52224,                0.21112,                 1.8894,                 1.8192,                 2.2328,              0.0018411,              0.0018411,              0.0018411
                      4,                 1.4466,                 1.7735,                 1.7817,                0.53588,                0.53838,                0.53525,                0.22639,                 1.8585,                 1.7717,                 2.2198,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.3947,                 1.6803,                 1.7439,                0.54453,                0.50612,                  0.515,                0.23858,                 1.7478,                 1.7268,                 2.0867,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.3649,                 1.6473,                 1.7261,                0.59713,                0.57842,                0.58792,                 0.2446,                 1.8466,                 1.5967,                 2.2156,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.3293,                 1.5744,                 1.6919,                0.65221,                0.70857,                0.69581,                0.29376,                 1.8447,                 1.3709,                  2.234,               0.001604,               0.001604,               0.001604
                      8,                 1.3078,                 1.5292,                 1.6787,                0.69608,                0.66518,                0.72187,                0.35308,                  1.695,                 1.3064,                 2.0453,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.2903,                 1.4853,                 1.6572,                0.67934,                0.67868,                0.71639,                0.38533,                 1.5427,                 1.2869,                 1.8693,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.2649,                 1.4483,                 1.6388,                0.68956,                0.69188,                0.72669,                0.35095,                 1.6485,                 1.2719,                 2.0109,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.2457,                 1.3992,                 1.6162,                0.70201,                0.70745,                0.76265,                0.38888,                 1.5965,                 1.2083,                 1.9197,              0.0012872,              0.0012872,              0.0012872
                     12,                  1.237,                 1.3656,                 1.6014,                0.75704,                 0.7036,                0.79744,                0.42994,                 1.5035,                 1.1217,                 1.8423,               0.001208,               0.001208,               0.001208
                     13,                 1.2115,                  1.333,                  1.589,                 0.7606,                0.75083,                0.81684,                0.43615,                 1.5408,                 1.0826,                 1.8487,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.1971,                 1.3013,                 1.5735,                0.78098,                0.76551,                0.83333,                0.44529,                 1.5409,                  1.062,                 1.8501,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.1853,                 1.2756,                 1.5672,                0.76311,                0.76529,                0.79323,                0.41005,                  1.583,                 1.0656,                  1.912,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.1991,                 1.0516,                  1.681,                0.77684,                0.76974,                0.83123,                0.45829,                 1.4682,                 1.0465,                 1.7953,              0.0008912,              0.0008912,              0.0008912
                     17,                 1.1642,                0.98504,                 1.6503,                0.77761,                0.79978,                0.84004,                0.47211,                 1.4696,                0.98119,                 1.7939,               0.000812,               0.000812,               0.000812
                     18,                 1.1362,                0.93541,                 1.6243,                0.76917,                0.78207,                0.84259,                0.48365,                 1.4023,                0.96071,                 1.7547,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.1093,                0.90235,                 1.5963,                0.77025,                0.82091,                0.84911,                0.48382,                 1.4368,                0.96785,                 1.7577,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.0742,                0.85791,                 1.5698,                0.80475,                0.79755,                0.85741,                0.50259,                 1.3829,                0.93716,                 1.7257,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.0566,                0.81674,                 1.5495,                0.79338,                  0.802,                0.85785,                0.49925,                 1.4084,                0.91327,                 1.7563,              0.0004952,              0.0004952,              0.0004952
                     22,                 1.0312,                0.78794,                 1.5204,                0.77126,                0.81765,                0.85167,                0.50819,                 1.3565,                 0.9107,                 1.7031,               0.000416,               0.000416,               0.000416
                     23,                 1.0024,                0.74906,                 1.4975,                0.82952,                0.75306,                0.85003,                0.50904,                 1.3812,                 0.9117,                 1.7351,              0.0003368,              0.0003368,              0.0003368
                     24,                0.97482,                0.71481,                 1.4742,                0.80946,                0.80805,                0.87208,                0.51936,                   1.37,                0.87171,                 1.7283,              0.0002576,              0.0002576,              0.0002576
                     25,                0.95549,                0.68067,                 1.4496,                0.81139,                0.81646,                0.86543,                0.52604,                 1.3304,                0.86225,                 1.6737,              0.0001784,              0.0001784,              0.0001784
